"Reactive Agent","Reactive Agent"
"-1.0","-1.0"
"-2.0","-2.0"
"-3.0","-3.0"
"-4.0","-4.0"
"-5.0","-5.0"
"-6.0","-6.0"
"-7.0","-7.0"
"-8.0","-8.0"
"-9.0","-9.0"
"-10.0","-10.0"
"-11.0","-11.0"
"-12.0","-12.0"
"-13.0","-13.0"
"-14.0","-14.0"
"-15.0","-15.0"
"-16.0","-16.0"
"-17.0","-17.0"
"-18.0","-18.0"
"-19.0","-19.0"
"-20.0","-20.0"
"-21.0","-21.0"
"-22.0","-22.0"
"-23.0","-23.0"
"-24.0","-24.0"
"-25.0","-25.0"
"-26.0","-26.0"
"-27.0","-27.0"
"-28.0","-28.0"
"-29.0","-29.0"
"-30.0","-30.0"
"-31.0","-31.0"
"-32.0","-32.0"
"-33.0","-33.0"
"-34.0","-34.0"
"-35.0","-35.0"
"-36.0","-36.0"
"-37.0","-37.0"
"-38.0","-38.0"
"-39.0","-39.0"
"-40.0","-40.0"
"-41.0","-41.0"
"-42.0","-42.0"
"-43.0","-43.0"
"-44.0","-44.0"
"-45.0","-45.0"
"-46.0","-46.0"
"-47.0","-47.0"
"-48.0","-48.0"
"-49.0","-49.0"
"-50.0","-50.0"
"-51.0","-51.0"
"-52.0","-52.0"
"-53.0","-53.0"
"-54.0","-54.0"
"-55.0","-55.0"
"-56.0","-56.0"
"-57.0","-57.0"
"-58.0","-58.0"
"-59.0","-59.0"
"-60.0","-60.0"
"-61.0","-61.0"
"-62.0","-62.0"
"-63.0","-63.0"
"-64.0","-64.0"
"-65.0","36.0"
"-66.0","136.0"
"-67.0","135.0"
"-68.0","134.0"
"-69.0","133.0"
"-70.0","132.0"
"-71.0","232.0"
"-72.0","231.0"
"-73.0","230.0"
"-74.0","229.0"
"-75.0","228.0"
"-76.0","227.0"
"-77.0","226.0"
"-78.0","225.0"
"-79.0","224.0"
"-80.0","223.0"
"-81.0","222.0"
"-82.0","221.0"
"-83.0","220.0"
"-84.0","219.0"
"-85.0","218.0"
"-86.0","217.0"
"-87.0","216.0"
"-88.0","215.0"
"-89.0","214.0"
"-90.0","213.0"
"-91.0","212.0"
"-92.0","211.0"
"-93.0","210.0"
"-94.0","209.0"
"-95.0","208.0"
"-96.0","207.0"
"-97.0","206.0"
"-98.0","205.0"
"-99.0","204.0"
"-100.0","203.0"
"-101.0","202.0"
"-102.0","201.0"
"-103.0","200.0"
"-104.0","199.0"
"-105.0","198.0"
"-106.0","197.0"
"-107.0","196.0"
"-108.0","195.0"
"-109.0","194.0"
"-110.0","193.0"
"-111.0","192.0"
"-112.0","191.0"
"-113.0","190.0"
"-114.0","189.0"
"-115.0","188.0"
"-116.0","187.0"
"-117.0","186.0"
"-118.0","185.0"
"-119.0","184.0"
"-120.0","183.0"
"-121.0","182.0"
"-122.0","181.0"
"-123.0","180.0"
"-124.0","179.0"
"-125.0","178.0"
"-126.0","177.0"
"-127.0","176.0"
"-128.0","175.0"
"-129.0","174.0"
"-130.0","274.0"
"-131.0","273.0"
"-132.0","373.0"
"-133.0","372.0"
"-134.0","472.0"
"-135.0","471.0"
"-136.0","470.0"
"-137.0","469.0"
"-138.0","468.0"
"-139.0","467.0"
"-140.0","466.0"
"-141.0","465.0"
"-142.0","464.0"
"-143.0","463.0"
"-144.0","462.0"
"-145.0","461.0"
"-146.0","460.0"
"-147.0","459.0"
"-148.0","458.0"
"-149.0","457.0"
"-150.0","456.0"
"-151.0","455.0"
"-152.0","454.0"
"-153.0","453.0"
"-154.0","452.0"
"-155.0","451.0"
"-156.0","450.0"
"-157.0","449.0"
"-158.0","448.0"
"-159.0","447.0"
"-160.0","446.0"
"-161.0","445.0"
"-162.0","444.0"
"-163.0","443.0"
"-164.0","442.0"
"-165.0","441.0"
"-166.0","440.0"
"-167.0","439.0"
"-168.0","438.0"
"-169.0","437.0"
"-170.0","436.0"
"-171.0","435.0"
"-172.0","434.0"
"-173.0","433.0"
"-174.0","432.0"
"-175.0","431.0"
"-176.0","430.0"
"-177.0","429.0"
"-178.0","428.0"
"-179.0","427.0"
"-180.0","426.0"
"-181.0","425.0"
"-182.0","424.0"
"-183.0","423.0"
"-184.0","422.0"
"-185.0","421.0"
"-186.0","420.0"
"-187.0","419.0"
"-188.0","418.0"
"-189.0","417.0"
"-190.0","416.0"
"-191.0","415.0"
"-192.0","414.0"
"-193.0","413.0"
"-194.0","412.0"
"-195.0","411.0"
"-196.0","410.0"
"-197.0","409.0"
"-198.0","408.0"
"-199.0","407.0"
"-200.0","406.0"
"-201.0","405.0"
"-202.0","404.0"
"-203.0","403.0"
"-204.0","402.0"
"-205.0","401.0"
"-206.0","400.0"
"-207.0","399.0"
"-208.0","499.0"
"-209.0","498.0"
"-210.0","497.0"
"-211.0","496.0"
"-212.0","495.0"
"-213.0","494.0"
"-214.0","493.0"
"-215.0","492.0"
"-216.0","491.0"
"-217.0","490.0"
"-218.0","489.0"
"-219.0","488.0"
"-220.0","487.0"
"-221.0","486.0"
"-222.0","485.0"
"-223.0","484.0"
"-224.0","483.0"
"-225.0","482.0"
"-226.0","481.0"
"-227.0","480.0"
"-228.0","479.0"
"-229.0","478.0"
"-230.0","477.0"
"-231.0","476.0"
"-232.0","475.0"
"-233.0","474.0"
"-234.0","473.0"
"-235.0","472.0"
"-236.0","471.0"
"-237.0","470.0"
"-238.0","469.0"
"-239.0","468.0"
"-240.0","467.0"
"-241.0","466.0"
"-242.0","465.0"
"-243.0","464.0"
"-244.0","463.0"
"-245.0","462.0"
"-246.0","461.0"
"-247.0","460.0"
"-248.0","459.0"
"-249.0","458.0"
"-250.0","457.0"
"-251.0","456.0"
"-252.0","556.0"
"-253.0","555.0"
"-254.0","554.0"
"-255.0","553.0"
"-256.0","552.0"
"-257.0","551.0"
"-258.0","550.0"
"-259.0","650.0"
"-260.0","649.0"
"-261.0","648.0"
"-262.0","647.0"
"-263.0","646.0"
"-264.0","645.0"
"-265.0","644.0"
"-266.0","744.0"
"-267.0","743.0"
"-268.0","742.0"
"-269.0","741.0"
"-270.0","841.0"
"-271.0","840.0"
"-272.0","839.0"
"-273.0","838.0"
"-274.0","837.0"
"-275.0","836.0"
"-276.0","835.0"
"-277.0","834.0"
"-278.0","833.0"
"-279.0","832.0"
"-280.0","831.0"
"-281.0","830.0"
"-282.0","829.0"
"-283.0","828.0"
"-284.0","827.0"
"-285.0","826.0"
"-286.0","825.0"
"-287.0","824.0"
"-288.0","823.0"
"-289.0","822.0"
"-290.0","821.0"
"-291.0","820.0"
"-292.0","819.0"
"-293.0","818.0"
"-294.0","817.0"
"-295.0","816.0"
"-296.0","815.0"
"-297.0","814.0"
"-298.0","813.0"
"-299.0","812.0"
"-300.0","811.0"
"-301.0","810.0"
"-302.0","809.0"
"-303.0","808.0"
"-304.0","807.0"
"-305.0","806.0"
"-306.0","805.0"
"-307.0","804.0"
"-308.0","803.0"
"-309.0","802.0"
"-310.0","801.0"
"-311.0","800.0"
"-312.0","799.0"
"-313.0","798.0"
"-314.0","797.0"
"-315.0","796.0"
"-316.0","795.0"
"-317.0","794.0"
"-318.0","793.0"
"-319.0","792.0"
