Reactive Agent,Reactive Agent
-1.0,-1.0
-2.0,-2.0
-3.0,-3.0
-4.0,-4.0
-5.0,-5.0
-6.0,-6.0
-7.0,-7.0
-8.0,-8.0
-9.0,-9.0
-10.0,-10.0
-11.0,-11.0
-12.0,-12.0
-13.0,-13.0
-14.0,-14.0
-15.0,-15.0
-16.0,-16.0
-17.0,-17.0
-18.0,-18.0
-19.0,-19.0
-20.0,-20.0
-21.0,-21.0
-22.0,-22.0
-23.0,-23.0
-24.0,-24.0
-25.0,-25.0
-26.0,-26.0
-27.0,-27.0
-28.0,-28.0
-29.0,-29.0
-30.0,-30.0
-31.0,-31.0
-32.0,-32.0
-33.0,-33.0
-34.0,-34.0
-35.0,-35.0
-36.0,-36.0
-37.0,-37.0
-38.0,-38.0
-39.0,-39.0
-40.0,-40.0
-41.0,-41.0
-42.0,-42.0
-43.0,-43.0
-44.0,-44.0
-45.0,-45.0
-46.0,-46.0
-47.0,-47.0
-48.0,-48.0
-49.0,-49.0
-50.0,-50.0
-51.0,-51.0
-52.0,-52.0
-53.0,-53.0
47.0,-54.0
46.0,-55.0
45.0,-56.0
145.0,-57.0
144.0,-58.0
143.0,-59.0
142.0,-60.0
141.0,-61.0
140.0,-62.0
139.0,-63.0
138.0,-64.0
137.0,-65.0
136.0,-66.0
135.0,-67.0
235.0,-68.0
234.0,-69.0
233.0,-70.0
232.0,-71.0
231.0,-72.0
230.0,-73.0
330.0,-74.0
329.0,-75.0
328.0,-76.0
428.0,-77.0
427.0,-78.0
426.0,-79.0
425.0,-80.0
424.0,-81.0
423.0,-82.0
422.0,-83.0
421.0,-84.0
420.0,-85.0
419.0,-86.0
418.0,-87.0
417.0,-88.0
416.0,-89.0
415.0,-90.0
414.0,-91.0
413.0,-92.0
412.0,-93.0
411.0,-94.0
410.0,-95.0
409.0,-96.0
408.0,-97.0
407.0,-98.0
406.0,-99.0
405.0,-100.0
404.0,-101.0
403.0,-102.0
402.0,-103.0
401.0,-104.0
400.0,-105.0
399.0,-106.0
398.0,-107.0
397.0,-108.0
396.0,-109.0
395.0,-110.0
394.0,-111.0
393.0,-112.0
392.0,-113.0
391.0,-114.0
390.0,-115.0
389.0,-116.0
388.0,-117.0
387.0,-118.0
386.0,-119.0
385.0,-120.0
384.0,-121.0
383.0,-122.0
382.0,-123.0
381.0,-124.0
380.0,-125.0
379.0,-126.0
378.0,-127.0
377.0,-128.0
376.0,-129.0
375.0,-130.0
374.0,-131.0
373.0,-132.0
372.0,-133.0
371.0,-134.0
370.0,-135.0
369.0,-136.0
368.0,-137.0
367.0,-138.0
366.0,-139.0
365.0,-140.0
364.0,-141.0
363.0,-142.0
362.0,-143.0
361.0,-144.0
360.0,-145.0
359.0,-146.0
358.0,-147.0
357.0,-148.0
356.0,-149.0
355.0,-150.0
354.0,-151.0
353.0,-152.0
352.0,-153.0
351.0,-154.0
350.0,-155.0
349.0,-156.0
348.0,-157.0
347.0,-158.0
346.0,-159.0
345.0,-160.0
344.0,-161.0
343.0,-162.0
342.0,-163.0
341.0,-164.0
340.0,-165.0
339.0,-166.0
338.0,-167.0
337.0,-168.0
336.0,-169.0
335.0,-170.0
334.0,-171.0
333.0,-172.0
332.0,-173.0
331.0,-174.0
330.0,-175.0
329.0,-176.0
328.0,-177.0
327.0,-178.0
326.0,-179.0
325.0,-180.0
324.0,-181.0
323.0,-182.0
322.0,-183.0
321.0,-184.0
320.0,-185.0
319.0,-186.0
318.0,-187.0
317.0,-188.0
316.0,-189.0
315.0,-190.0
314.0,-191.0
313.0,-192.0
312.0,-193.0
311.0,-194.0
310.0,-195.0
309.0,-196.0
308.0,-197.0
307.0,-198.0
306.0,-199.0
305.0,-200.0
304.0,-201.0
303.0,-202.0
302.0,-203.0
301.0,-204.0
300.0,-205.0
299.0,-206.0
298.0,-207.0
297.0,-208.0
296.0,-209.0
295.0,-210.0
294.0,-211.0
293.0,-212.0
292.0,-213.0
291.0,-214.0
290.0,-215.0
289.0,-216.0
288.0,-217.0
287.0,-218.0
286.0,-219.0
285.0,-220.0
284.0,-221.0
283.0,-222.0
282.0,-223.0
281.0,-224.0
280.0,-225.0
279.0,-226.0
278.0,-227.0
277.0,-228.0
276.0,-229.0
275.0,-230.0
274.0,-231.0
273.0,-232.0
272.0,-233.0
271.0,-234.0
270.0,-235.0
269.0,-236.0
268.0,-237.0
267.0,-238.0
266.0,-239.0
265.0,-240.0
264.0,-241.0
263.0,-242.0
262.0,-243.0
261.0,-244.0
260.0,-245.0
259.0,-246.0
258.0,-247.0
257.0,-248.0
256.0,-249.0
255.0,-250.0
254.0,-251.0
253.0,-252.0
252.0,-253.0
352.0,-254.0
452.0,-255.0
451.0,-256.0
450.0,-257.0
449.0,-258.0
448.0,-259.0
447.0,-260.0
446.0,-261.0
445.0,-262.0
444.0,-263.0
544.0,-264.0
543.0,-265.0
542.0,-266.0
541.0,-267.0
540.0,-268.0
640.0,-269.0
639.0,-270.0
638.0,-271.0
738.0,-272.0
737.0,-273.0
837.0,-274.0
836.0,-275.0
835.0,-276.0
834.0,-277.0
833.0,-278.0
832.0,-279.0
831.0,-280.0
830.0,-281.0
829.0,-282.0
828.0,-283.0
827.0,-284.0
927.0,-285.0
926.0,-286.0
925.0,-287.0
924.0,-288.0
923.0,-289.0
922.0,-290.0
1022.0,-291.0
1021.0,-292.0
1020.0,-293.0
1019.0,-294.0
1018.0,-295.0
1017.0,-296.0
1016.0,-297.0
1015.0,-298.0
1014.0,-299.0
1013.0,-300.0
1012.0,-301.0
1011.0,-302.0
1111.0,-303.0
1110.0,-304.0
1109.0,-305.0
1108.0,-306.0
1107.0,-307.0
1106.0,-308.0
1105.0,-309.0
1104.0,-310.0
1103.0,-311.0
1102.0,-312.0
1101.0,-313.0
1201.0,-314.0
1200.0,-315.0
1300.0,-316.0
1299.0,-317.0
1298.0,-318.0
1297.0,-319.0
1296.0,-320.0
1295.0,-321.0
1294.0,-322.0
1293.0,-323.0
1292.0,-324.0
1291.0,-325.0
1290.0,-326.0
1289.0,-327.0
1288.0,-328.0
1287.0,-329.0
1286.0,-330.0
1285.0,-331.0
1284.0,-332.0
1283.0,-333.0
1282.0,-334.0
1281.0,-335.0
1280.0,-336.0
1279.0,-337.0
1278.0,-338.0
1277.0,-339.0
1276.0,-340.0
1275.0,-341.0
1274.0,-342.0
1273.0,-343.0
1272.0,-344.0
1271.0,-345.0
1270.0,-346.0
1269.0,-347.0
1268.0,-348.0
1267.0,-349.0
1266.0,-350.0
1265.0,-351.0
1264.0,-352.0
1263.0,-353.0
1262.0,-354.0
1261.0,-355.0
1260.0,-356.0
1259.0,-357.0
1258.0,-358.0
1257.0,-359.0
1256.0,-360.0
1255.0,-361.0
1254.0,-362.0
1253.0,-363.0
1252.0,-364.0
1251.0,-365.0
1250.0,-366.0
1249.0,-367.0
1248.0,-368.0
1247.0,-369.0
1246.0,-370.0
1245.0,-371.0
1244.0,-372.0
1243.0,-373.0
1242.0,-374.0
1241.0,-375.0
1240.0,-376.0
1239.0,-377.0
1238.0,-378.0
1237.0,-379.0
1236.0,-380.0
1235.0,-381.0
